Idade;Sexo;Renda_Men;Obt_info;Forma_diver;Possuir_acessar;Comp_on_pres;Temp_med;Meio_pagamento;Freq_comp_on;Comp_por_rec;Disp_p_comp_on;Valor_med_gasto;Facilidade_nav;Comp_preco;Satisfeito_compra_on;Seg_com_on;Sust_com_on;Crit_comp_on;
23;Feminino;de R$ 5.001 a R$ 10.000;Redes Sociais;Jogos virtuais/Games;Mais possuir do que apenas acessar;Loja Física;5;Carteira Digital (cartão no celular);Frequentemente (Mensal);Não;Computador;100;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Discordo em parte;Nem concordo e nem discordo;Reputação da loja/site;
42;Masculino;de R$ 5.001 a R$ 10.000;Sites online (internet);Eventos presenciais;Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Pix;Sempre (Semanal);Sim;Celular;1000;Nem concordo e nem discordo;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Nem concordo e nem discordo;Preço;
48;Feminino;acima de R$ 10.000;Redes Sociais;Redes Sociais;Só possuir;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Computador;400;Nem concordo e nem discordo;Discordo totalmente;Concordo em parte;Discordo totamente;Concordo totalmente;Qualidade do produto;
58;Masculino;de R$ 2.001 a R$ 5.000;Sites online (internet);Redes Sociais;Só possuir;Loja Física;2;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Celular;20;Concordo em parte;Concordo totalmente;Concordo em parte;Discordo em parte;Nem concordo e nem discordo;Qualidade do produto;
29;Feminino;de R$ 2.001 a R$ 5.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;3;Pix;Às vezes (Semestral);Não;Computador;200;Concordo totalmente;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Reputação da loja/site;
55;Feminino;acima de R$ 10.000;Jornais/Revista;Televisão;Mais possuir do que apenas acessar;Loja Física;3;Cartão de crédito/débito físico;Às vezes (Semestral);Não;Celular;50;Nem concordo e nem discordo;Nem concordo e nem discordo;Nem concordo e nem discordo;Concordo em parte;Nem concordo e nem discordo;Qualidade do produto;
38;Feminino;acima de R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Física;2;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;500;Concordo em parte;Nem concordo e nem discordo;Concordo em parte;Nem concordo e nem discordo;Discordo em parte;Preço;
25;Feminino;Até R$ 2.000,00;Sites online (internet);Jogos virtuais/Games;Mais possuir do que apenas acessar;Loja Virtual (Internet);3;Pix;Às vezes (Semestral);Não;Celular;500;Concordo totalmente;Concordo totalmente;Concordo totalmente;Nem concordo e nem discordo;Concordo em parte;Avaliação dos outros compradores;
41;Masculino;acima de R$ 10.000;Redes Sociais;Redes Sociais;Só acessar.;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Às vezes (Semestral);Sim;Celular;500;Concordo totalmente;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Avaliação dos outros compradores;
56;Feminino;de R$ 5.001 a R$ 10.000;Redes Sociais;Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);3;Cartão de crédito/débito físico;Frequentemente (Mensal);Sim;Celular;500;Nem concordo e nem discordo;Concordo em parte;Concordo em parte;Concordo em parte;Concordo em parte;Qualidade do produto;
25;Feminino;de R$ 5.001 a R$ 10.000;Sites online (internet);Streaming/Conteúdo digital (ex: Netflix, Youtube, Xbox, eventos online...);Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Frequentemente (Mensal);Não;Celular;250;Concordo totalmente;Concordo em parte;Nem concordo e nem discordo;Discordo em parte;Concordo em parte;Qualidade do produto;
23;Masculino;de R$ 2.001 a R$ 5.000;Sites online (internet);Jogos virtuais/Games;Mais possuir do que apenas acessar;Loja Virtual (Internet);2;Carteira Digital (cartão no celular);Sempre (Semanal);Sim;Computador;900;Concordo em parte;Concordo totalmente;Nem concordo e nem discordo;Discordo em parte;Concordo em parte;Qualidade do produto;
57;Feminino;de R$ 5.001 a R$ 10.000;Jornais/Revista;Eventos presenciais;Só possuir;Loja Física;1;Pix;Raramente (Anual);Não;Celular;20;Concordo totalmente;Concordo totalmente;Concordo em parte;Discordo totamente;Concordo totalmente;Prazo de entrega;
